,City Name,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed,Lat,Lng
0,Ukiah,90,US,1547520960,79,48.02,8.19,39.15,-123.21
1,Carnarvon,0,ZA,1547524943,49,52.63,6.85,-30.97,22.13
2,Puerto Ayora,88,EC,1547524977,100,76.75,5.61,-0.74,-90.35
3,Hermanus,24,ZA,1547524390,95,48.76,2.15,-34.42,19.24
4,Yellowknife,75,CA,1547521200,68,-18.41,9.17,62.45,-114.38
5,Rikitea,92,PF,1547524279,97,80.62,10.76,-23.12,-134.97
6,Sarakhs,64,TM,1547521200,81,44.6,2.24,36.54,61.16
7,Alice Springs,0,AU,1547523000,9,107.6,12.75,-23.7,133.88
8,Port Alfred,0,ZA,1547525121,98,66.49,4.38,-33.59,26.89
9,Srednekolymsk,56,RU,1547525123,70,-23.51,3.94,67.46,153.71
10,Mataura,0,NZ,1547524317,66,67.21,8.08,-46.19,168.86
11,Sao Jose da Coroa Grande,92,BR,1547525127,92,76.21,5.73,-8.9,-35.15
12,Ushuaia,40,AR,1547521200,81,51.8,4.7,-54.81,-68.31
13,Coquimbo,0,CL,1547521200,82,60.8,6.93,-29.95,-71.34
14,Dikson,76,RU,1547525133,100,10.24,18.81,73.51,80.55
15,Filadelfia,80,PY,1547525135,58,85.21,10.76,-22.35,-60.04
16,Najran,0,SA,1547521200,35,57.2,2.26,17.54,44.22
17,New Norfolk,0,AU,1547523000,44,77.0,19.46,-42.78,147.06
18,Avarua,40,CK,1547521200,65,82.4,13.87,-21.21,-159.78
19,Pevek,56,RU,1547525095,100,-13.43,15.68,69.7,170.27
20,Bredasdorp,88,ZA,1547521200,77,62.6,3.36,-34.53,20.04
21,Guerrero Negro,0,MX,1547525148,96,58.75,5.73,27.97,-114.04
22,Busselton,0,AU,1547524906,89,70.9,13.0,-33.64,115.35
23,Ilulissat,12,GL,1547520600,52,-7.61,9.17,69.22,-51.1
24,Ukiah,90,US,1547520960,79,48.02,8.19,39.15,-123.21
25,Carnarvon,0,ZA,1547524943,49,52.63,6.85,-30.97,22.13
26,Puerto Ayora,88,EC,1547524977,100,76.75,5.61,-0.74,-90.35
27,Hermanus,24,ZA,1547524390,95,48.76,2.15,-34.42,19.24
28,Yellowknife,75,CA,1547521200,68,-18.41,9.17,62.45,-114.38
29,Rikitea,92,PF,1547524279,97,80.62,10.76,-23.12,-134.97
30,Sarakhs,64,TM,1547521200,81,44.6,2.24,36.54,61.16
31,Alice Springs,0,AU,1547523000,9,107.6,12.75,-23.7,133.88
32,Port Alfred,0,ZA,1547525121,98,66.49,4.38,-33.59,26.89
33,Srednekolymsk,56,RU,1547525123,70,-23.51,3.94,67.46,153.71
34,Mataura,0,NZ,1547524317,66,67.21,8.08,-46.19,168.86
35,Sao Jose da Coroa Grande,92,BR,1547525127,92,76.21,5.73,-8.9,-35.15
36,Ushuaia,40,AR,1547521200,81,51.8,4.7,-54.81,-68.31
37,Coquimbo,0,CL,1547521200,82,60.8,6.93,-29.95,-71.34
38,Dikson,76,RU,1547525133,100,10.24,18.81,73.51,80.55
39,Filadelfia,80,PY,1547525135,58,85.21,10.76,-22.35,-60.04
40,Najran,0,SA,1547521200,35,57.2,2.26,17.54,44.22
41,New Norfolk,0,AU,1547523000,44,77.0,19.46,-42.78,147.06
42,Avarua,40,CK,1547521200,65,82.4,13.87,-21.21,-159.78
43,Pevek,56,RU,1547525095,100,-13.43,15.68,69.7,170.27
44,Bredasdorp,88,ZA,1547521200,77,62.6,3.36,-34.53,20.04
45,Guerrero Negro,0,MX,1547525148,96,58.75,5.73,27.97,-114.04
46,Busselton,0,AU,1547524906,89,70.9,13.0,-33.64,115.35
47,Ilulissat,12,GL,1547520600,52,-7.61,9.17,69.22,-51.1
48,Hobart,0,AU,1547521200,41,77.0,17.22,-42.88,147.33
49,Buchanan,20,LR,1547523000,94,73.4,6.4,5.88,-10.05
50,Katobu,48,ID,1547525336,83,86.56,5.17,-4.94,122.53
51,East London,0,ZA,1547521200,88,66.2,2.24,-33.02,27.91
52,Barrow,88,AR,1547524407,75,69.46,7.4,-38.31,-60.23
53,Qaanaaq,0,GL,1547524260,100,-28.1,9.19,77.48,-69.36
54,Luau,92,CD,1547525355,100,63.43,2.71,-10.7,22.23
55,Arraial do Cabo,8,BR,1547525100,84,77.47,17.69,-22.97,-42.02
56,Avera,90,US,1547524500,82,46.4,4.7,33.19,-82.53
57,Butaritari,80,KI,1547525151,100,83.41,14.23,3.07,172.79
58,Airai,24,TL,1547525157,90,79.63,1.25,-8.93,125.41
59,Hovd,75,NO,1547524200,86,32.0,16.11,63.83,10.7
60,Fairbanks,1,US,1547521080,83,-2.93,2.59,64.84,-147.72
61,Hilo,90,US,1547520780,66,75.92,5.82,19.71,-155.08
62,Naze,0,NG,1547525146,92,73.87,5.73,5.43,7.07
63,Castro,20,CL,1547521200,87,50.0,5.82,-42.48,-73.76
64,Albany,40,US,1547521080,64,19.4,2.93,42.65,-73.75
65,Bull Savanna,8,JM,1547525388,92,67.75,2.15,17.89,-77.59
66,Malanje,68,AO,1547525391,86,65.59,6.06,-9.54,16.35
67,Ribeira Grande,88,PT,1547524396,98,61.54,5.39,38.52,-28.7
68,Kodiak,90,US,1547523600,100,32.0,8.05,39.95,-94.76
69,Requena,0,ES,1547523000,80,39.2,4.7,39.49,-1.1
70,Upernavik,8,GL,1547524254,100,-11.63,17.69,72.79,-56.15
71,Norman Wells,40,CA,1547521200,69,-11.21,6.93,65.28,-126.83
72,Adrar,0,DZ,1547521200,40,37.4,6.93,27.87,-0.29
73,Taltal,0,CL,1547525415,91,55.87,1.48,-25.41,-70.49
74,Azare,0,NG,1547525417,40,55.24,7.74,11.67,10.19
75,Ust-Kut,80,RU,1547525420,78,3.49,3.27,56.78,105.75
76,Palmeirais,12,BR,1547525423,94,69.19,2.82,-5.97,-43.06
77,Kadirli,92,TR,1547525426,100,41.38,7.07,37.37,36.09
78,Esperance,20,TT,1547521200,83,73.4,5.39,10.24,-61.45
79,Thompson,90,CA,1547523420,76,-7.61,5.82,55.74,-97.86
80,Vaini,0,IN,1547521200,45,69.8,5.82,15.34,74.49
81,Beringovskiy,80,RU,1547525522,100,-3.53,30.89,63.05,179.32
82,Richards Bay,80,ZA,1547525392,98,74.59,3.38,-28.77,32.06
83,Saint George,75,GR,1547524200,87,39.2,12.75,39.45,22.34
84,Molochnoye,68,UA,1547525443,94,37.06,10.09,44.91,34.04
85,Daru,0,SL,1547525446,82,68.02,2.59,7.99,-10.85
86,Micheweni,88,TZ,1547525452,100,81.34,5.39,-4.97,39.83
87,Kapaa,1,US,1547520960,66,78.98,10.29,22.08,-159.32
88,Punta Arenas,75,CL,1547521200,76,51.8,4.7,-53.16,-70.91
89,Provideniya,90,RU,1547521200,100,15.8,26.84,64.42,-173.23
90,Borken,0,DE,1547524200,100,37.4,8.05,51.84,6.86
91,Garowe,92,SO,1547525474,96,61.09,7.63,8.41,48.48
